year,CCCma_CanESM5_r1i1p1f1_esm-ssp585,CCCma_CanESM5_r2i1p1f1_esm-ssp585,CCCma_CanESM5_r3i1p1f1_esm-ssp585,CSIRO_ACCESS-ESM1-5_r1i1p1f1_esm-ssp585,CSIRO_ACCESS-ESM1-5_r2i1p1f1_esm-ssp585,CSIRO_ACCESS-ESM1-5_r3i1p1f1_esm-ssp585,CCCma_CanESM5_r1i1p1f1_esm-hist,CCCma_CanESM5_r2i1p1f1_esm-hist,CCCma_CanESM5_r3i1p1f1_esm-hist,CCCma_CanESM5_r4i1p1f1_esm-hist,CCCma_CanESM5_r5i1p1f1_esm-hist,CCCma_CanESM5_r10i1p1f1_historical,CCCma_CanESM5_r11i1p1f1_historical,CCCma_CanESM5_r12i1p1f1_historical,CCCma_CanESM5_r13i1p1f1_historical,CCCma_CanESM5_r14i1p1f1_historical,CCCma_CanESM5_r15i1p1f1_historical,CCCma_CanESM5_r16i1p1f1_historical,CCCma_CanESM5_r17i1p1f1_historical,CCCma_CanESM5_r18i1p1f1_historical,CCCma_CanESM5_r19i1p1f1_historical,CCCma_CanESM5_r1i1p1f1_historical,CCCma_CanESM5_r1i1p2f1_historical,CCCma_CanESM5_r20i1p1f1_historical,CCCma_CanESM5_r21i1p1f1_historical,CCCma_CanESM5_r22i1p1f1_historical,CCCma_CanESM5_r23i1p1f1_historical,CCCma_CanESM5_r24i1p1f1_historical,CCCma_CanESM5_r25i1p1f1_historical,CCCma_CanESM5_r2i1p1f1_historical,CCCma_CanESM5_r2i1p2f1_historical,CCCma_CanESM5_r3i1p1f1_historical,CCCma_CanESM5_r3i1p2f1_historical,CCCma_CanESM5_r4i1p1f1_historical,CCCma_CanESM5_r4i1p2f1_historical,CCCma_CanESM5_r5i1p1f1_historical,CCCma_CanESM5_r6i1p1f1_historical,CCCma_CanESM5_r6i1p2f1_historical,CCCma_CanESM5_r7i1p1f1_historical,CCCma_CanESM5_r7i1p2f1_historical,CCCma_CanESM5_r8i1p1f1_historical,CCCma_CanESM5_r8i1p2f1_historical,CCCma_CanESM5_r9i1p1f1_historical,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2_esm-hist,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2_historical,CNRM-CERFACS_CNRM-ESM2-1_r2i1p1f2_historical,CNRM-CERFACS_CNRM-ESM2-1_r3i1p1f2_historical,CNRM-CERFACS_CNRM-ESM2-1_r4i1p1f2_historical,CNRM-CERFACS_CNRM-ESM2-1_r5i1p1f2_historical,IPSL_IPSL-CM6A-LR_r10i1p1f1_historical,IPSL_IPSL-CM6A-LR_r11i1p1f1_historical,IPSL_IPSL-CM6A-LR_r12i1p1f1_historical,IPSL_IPSL-CM6A-LR_r13i1p1f1_historical,IPSL_IPSL-CM6A-LR_r14i1p1f1_historical,IPSL_IPSL-CM6A-LR_r15i1p1f1_historical,IPSL_IPSL-CM6A-LR_r16i1p1f1_historical,IPSL_IPSL-CM6A-LR_r17i1p1f1_historical,IPSL_IPSL-CM6A-LR_r18i1p1f1_historical,IPSL_IPSL-CM6A-LR_r19i1p1f1_historical,IPSL_IPSL-CM6A-LR_r1i1p1f1_historical,IPSL_IPSL-CM6A-LR_r20i1p1f1_historical,IPSL_IPSL-CM6A-LR_r21i1p1f1_historical,IPSL_IPSL-CM6A-LR_r22i1p1f1_historical,IPSL_IPSL-CM6A-LR_r23i1p1f1_historical,IPSL_IPSL-CM6A-LR_r24i1p1f1_historical,IPSL_IPSL-CM6A-LR_r25i1p1f1_historical,IPSL_IPSL-CM6A-LR_r26i1p1f1_historical,IPSL_IPSL-CM6A-LR_r27i1p1f1_historical,IPSL_IPSL-CM6A-LR_r28i1p1f1_historical,IPSL_IPSL-CM6A-LR_r29i1p1f1_historical,IPSL_IPSL-CM6A-LR_r2i1p1f1_historical,IPSL_IPSL-CM6A-LR_r30i1p1f1_historical,IPSL_IPSL-CM6A-LR_r31i1p1f1_historical,IPSL_IPSL-CM6A-LR_r3i1p1f1_historical,IPSL_IPSL-CM6A-LR_r4i1p1f1_historical,IPSL_IPSL-CM6A-LR_r5i1p1f1_historical,IPSL_IPSL-CM6A-LR_r6i1p1f1_historical,IPSL_IPSL-CM6A-LR_r7i1p1f1_historical,IPSL_IPSL-CM6A-LR_r8i1p1f1_historical,IPSL_IPSL-CM6A-LR_r9i1p1f1_historical,MIROC_MIROC-ES2L_r1i1p1f2_historical,MIROC_MIROC-ES2L_r2i1p1f2_historical,MIROC_MIROC-ES2L_r3i1p1f2_historical,MOHC_UKESM1-0-LL_r1i1p1f2_historical,MOHC_UKESM1-0-LL_r2i1p1f2_historical,MOHC_UKESM1-0-LL_r3i1p1f2_historical,MOHC_UKESM1-0-LL_r4i1p1f2_historical,MOHC_UKESM1-0-LL_r8i1p1f2_historical,NCAR_CESM2-WACCM_r1i1p1f1_historical,NCAR_CESM2-WACCM_r2i1p1f1_historical,NCAR_CESM2-WACCM_r3i1p1f1_historical,NCAR_CESM2_r10i1p1f1_historical,NCAR_CESM2_r11i1p1f1_historical,NCAR_CESM2_r1i1p1f1_historical,NCAR_CESM2_r2i1p1f1_historical,NCAR_CESM2_r3i1p1f1_historical,NCAR_CESM2_r4i1p1f1_historical,NCAR_CESM2_r5i1p1f1_historical,NCAR_CESM2_r6i1p1f1_historical,NCAR_CESM2_r7i1p1f1_historical,NCAR_CESM2_r8i1p1f1_historical,NCAR_CESM2_r9i1p1f1_historical,CCCma_CanESM5_r10i1p1f1_hist-GHG,CCCma_CanESM5_r1i1p1f1_hist-GHG,CCCma_CanESM5_r2i1p1f1_hist-GHG,CCCma_CanESM5_r3i1p1f1_hist-GHG,CCCma_CanESM5_r4i1p1f1_hist-GHG,CCCma_CanESM5_r5i1p1f1_hist-GHG,CCCma_CanESM5_r6i1p1f1_hist-GHG,CCCma_CanESM5_r7i1p1f1_hist-GHG,CCCma_CanESM5_r8i1p1f1_hist-GHG,CCCma_CanESM5_r9i1p1f1_hist-GHG,CCCma_CanESM5_r10i1p1f1_hist-aer,CCCma_CanESM5_r1i1p1f1_hist-aer,CCCma_CanESM5_r2i1p1f1_hist-aer,CCCma_CanESM5_r3i1p1f1_hist-aer,CCCma_CanESM5_r4i1p1f1_hist-aer,CCCma_CanESM5_r5i1p1f1_hist-aer,CCCma_CanESM5_r6i1p1f1_hist-aer,CCCma_CanESM5_r7i1p1f1_hist-aer,CCCma_CanESM5_r8i1p1f1_hist-aer,CCCma_CanESM5_r9i1p1f1_hist-aer,CCCma_CanESM5_r10i1p1f1_hist-nat,CCCma_CanESM5_r1i1p1f1_hist-nat,CCCma_CanESM5_r2i1p1f1_hist-nat,CCCma_CanESM5_r3i1p1f1_hist-nat,CCCma_CanESM5_r4i1p1f1_hist-nat,CCCma_CanESM5_r5i1p1f1_hist-nat,CCCma_CanESM5_r6i1p1f1_hist-nat,CCCma_CanESM5_r7i1p1f1_hist-nat,CCCma_CanESM5_r8i1p1f1_hist-nat,CCCma_CanESM5_r9i1p1f1_hist-nat,IPSL_IPSL-CM6A-LR_r10i1p1f1_hist-GHG,IPSL_IPSL-CM6A-LR_r1i1p1f1_hist-GHG,IPSL_IPSL-CM6A-LR_r3i1p1f1_hist-GHG,IPSL_IPSL-CM6A-LR_r4i1p1f1_hist-GHG,IPSL_IPSL-CM6A-LR_r5i1p1f1_hist-GHG,IPSL_IPSL-CM6A-LR_r6i1p1f1_hist-GHG,IPSL_IPSL-CM6A-LR_r7i1p1f1_hist-GHG,IPSL_IPSL-CM6A-LR_r8i1p1f1_hist-GHG,IPSL_IPSL-CM6A-LR_r9i1p1f1_hist-GHG,IPSL_IPSL-CM6A-LR_r10i1p1f1_hist-aer,IPSL_IPSL-CM6A-LR_r1i1p1f1_hist-aer,IPSL_IPSL-CM6A-LR_r3i1p1f1_hist-aer,IPSL_IPSL-CM6A-LR_r4i1p1f1_hist-aer,IPSL_IPSL-CM6A-LR_r5i1p1f1_hist-aer,IPSL_IPSL-CM6A-LR_r6i1p1f1_hist-aer,IPSL_IPSL-CM6A-LR_r7i1p1f1_hist-aer,IPSL_IPSL-CM6A-LR_r8i1p1f1_hist-aer,IPSL_IPSL-CM6A-LR_r9i1p1f1_hist-aer,IPSL_IPSL-CM6A-LR_r10i1p1f1_hist-nat,IPSL_IPSL-CM6A-LR_r1i1p1f1_hist-nat,IPSL_IPSL-CM6A-LR_r3i1p1f1_hist-nat,IPSL_IPSL-CM6A-LR_r4i1p1f1_hist-nat,IPSL_IPSL-CM6A-LR_r5i1p1f1_hist-nat,IPSL_IPSL-CM6A-LR_r6i1p1f1_hist-nat,IPSL_IPSL-CM6A-LR_r7i1p1f1_hist-nat,IPSL_IPSL-CM6A-LR_r8i1p1f1_hist-nat,IPSL_IPSL-CM6A-LR_r9i1p1f1_hist-nat,CCCma_CanESM5-CanOE_r1i1p2f1_ssp585,CCCma_CanESM5-CanOE_r2i1p2f1_ssp585,CCCma_CanESM5-CanOE_r3i1p2f1_ssp585,CCCma_CanESM5_r10i1p1f1_ssp245,CCCma_CanESM5_r10i1p2f1_ssp245,CCCma_CanESM5_r1i1p2f1_ssp245
1850,,,,,,,-6977.2734,-1255.464,-3897.9465,-3899.0374,-7029.141,-1444.2666,-2456.9507,-509.6273,-901.03546,-2265.7053,-3704.664,-3348.3066,-1333.244,-1519.3824,341.51123,-1242.278,-3929.7668,1252.9176,-3058.8196,-2032.9774,794.53326,-1902.0234,1822.7461,257.55112,906.646,1178.8861,-1216.9065,2065.08,-3126.0957,-401.33408,-2455.768,-60.229412,-4211.7812,1167.4631,-1341.1395,590.262,-394.05884,-26447.102,-27569.744,-29510.201,-36693.383,-24590.031,-25164.531,6022.3086,10192.52,8709.847,5473.2344,6509.069,5649.144,9443.798,7312.4517,6175.9077,8757.552,9556.413,-9.353841,10613.776,6126.699,5358.053,10376.536,2563.5928,12120.824,9667.47,7168.004,4642.3223,12088.647,2578.281,8941.055,7852.273,8147.401,8190.438,6809.6997,11764.409,9839.86,9376.485,10480.808,953.8086,4475.459,-21034.12,-32405.469,-5038.451,4603.612,-11096.543,-7311.776,-4378.8477,-3443.6309,-8956.421,-3898.346,-3119.1404,-4672.7944,-7132.151,-6013.2573,-7527.6265,-1626.6357,-3648.675,-2047.2944,-4124.639,-142.33138,-475.34976,-1137.373,2119.307,2143.3433,-1295.3676,-408.8461,-4522.828,-714.5257,-2000.121,440.01868,-2478.8704,681.6224,655.47125,475.9799,-1141.0953,-1179.0327,-4269.896,-481.40298,-3673.3445,-553.49225,-1881.4259,-1957.5775,196.4983,-346.73813,823.3052,-2574.577,-5571.2515,-279.23233,-2986.4421,7401.726,5668.1313,15455.004,7999.328,8527.415,9041.894,12061.019,7909.125,11216.411,7928.621,6308.5356,16039.169,8615.21,9139.544,9664.805,12656.109,8515.479,11822.253,12080.253,9174.659,11281.999,8956.149,1018.86816,10153.094,9360.036,10392.542,10600.157,,,,,,
1851,,,,,,,-5174.03,-5244.0566,-2021.3584,-5001.3013,-6064.356,-5575.842,-1979.0645,-4204.973,-2636.9324,-1639.0602,671.2756,-1169.7965,1957.5254,-2042.2568,1764.8989,-2735.538,-2761.7783,3274.288,4049.0186,-5323.0205,-1185.2794,-1276.7258,-453.319,1915.1484,2526.2654,-1260.7699,-368.03653,970.5476,1299.504,141.42676,20.423462,3115.425,132.98592,-2273.9082,-515.7434,63.0979,4122.225,-28755.697,-25405.58,-25976.455,-26651.89,-25809.748,-15290.165,4425.8564,8836.466,9570.214,5387.396,10165.312,7392.232,13966.966,7566.1816,6096.4937,9695.289,7056.861,6933.611,8835.237,7747.9663,6694.369,10217.533,4731.4536,9106.5625,6803.4297,10023.272,4937.386,12935.376,8197.737,8728.93,11452.151,11353.958,10435.657,5993.5884,12070.136,10487.988,8834.433,-5362.49,4081.765,4278.3423,-3590.0144,-30563.531,-834.6497,17414.729,-1123.002,-5717.0327,-4997.0845,-760.1038,-5590.106,-876.9024,-1804.4408,-1424.4233,-9713.608,-3803.5833,-5721.846,201.60481,-5197.509,-208.11555,-2288.6194,-5429.86,-2822.5696,1742.3076,1344.9524,1396.4916,560.24756,-54.96297,147.14485,-621.3572,2768.4226,-1688.3058,1095.4755,-423.90952,-3786.7087,-530.06866,-349.18677,-3977.5342,-2986.8376,-456.0939,2182.157,-5821.5366,239.71199,19.163168,-1073.0692,560.94666,-3256.907,-3327.9348,-7092.174,994.64166,1755.026,8632.901,9968.122,12289.7,9427.978,11846.579,10215.642,10812.171,8258.315,11029.45,9919.2705,14390.176,11775.1455,8713.824,9345.431,12328.175,10533.526,10788.39,12411.599,8273.129,8647.358,10310.097,5184.2417,7651.2812,9521.78,10594.719,10887.9795,5390.521,,,,,,
1852,,,,,,,-6779.43,-3987.801,-2657.8518,-2563.326,-1953.5963,-4609.792,-1547.1937,-4278.571,-1104.8037,-2675.6492,-693.4777,2355.9587,1880.5988,-2729.4587,4645.88,6434.6567,1968.3314,2575.4436,3051.21,914.3447,-853.0913,-2210.7683,1108.3127,1723.7758,2319.8894,-78.71649,-758.6629,490.02124,3556.594,1596.6943,1712.2174,3319.0967,1559.0399,148.73633,2095.5867,-823.74054,5263.8716,-32118.76,-23812.275,-24679.36,-29589.32,-21043.508,-26449.611,3011.6956,6121.0103,7930.3433,9847.551,13625.935,9966.495,10685.603,8083.3647,8398.141,12229.777,9656.484,11024.87,12465.6455,10674.446,12352.122,7987.568,9511.417,10543.493,11544.531,10211.911,8598.024,12327.343,10506.526,11368.341,12653.706,7376.8335,9096.341,10893.258,13909.208,10716.593,8300.673,3824.1152,2330.45,7312.8965,73.723305,-16688.867,21262.299,31941.607,24793.057,-4262.5015,-3010.2605,-2495.6248,-6054.2925,1355.8951,2399.8997,321.57748,-5821.305,-3968.8064,-1166.7681,333.84238,-2228.5413,646.68536,-3006.4648,-3139.8035,-591.2471,2513.3901,2337.3782,-2366.0579,509.78085,-1445.3998,3520.0293,2702.3215,8428.493,-4666.289,-2317.0889,-3145.9119,-613.75714,-5324.9272,180.27922,-2359.2954,-3442.3887,271.255,4343.009,-2217.2373,1605.6123,219.5774,-2852.3074,-651.2181,-5753.9624,-4841.2847,-1528.8838,7.3660483,-1464.5638,8493.94,10226.98,8445.043,3601.035,10029.526,12964.737,13686.695,10774.499,10353.712,5734.9556,7975.72,11413.282,4462.3843,7936.744,14035.581,8998.204,7031.107,9607.294,10526.165,8930.094,7905.6113,8241.396,8411.413,5708.043,9118.309,8133.2617,5552.695,,,,,,
1853,,,,,,,-5797.6997,-948.8059,-6231.9624,-2836.177,-1142.6329,-3356.6614,-1065.8263,336.00742,3933.5056,-1046.4972,2099.6409,-1909.2347,2277.2776,-1529.8815,2395.5261,2582.1504,1701.9272,4726.8745,2278.931,1238.644,-657.061,-1113.2462,-1336.5865,4242.1255,3986.6643,735.21515,4368.9673,-1606.5343,5264.113,3367.5215,-1055.2367,-1652.7622,-159.97795,872.8313,2736.9395,-425.63416,8938.321,-27006.576,-25511.854,-28291.475,-33278.395,-24850.373,-16651.477,10268.733,10624.2295,6460.612,12607.27,10231.626,4733.4956,10995.731,7421.504,6514.584,10364.881,10143.1455,13877.249,14233.355,10395.414,13522.112,6751.571,9578.696,7416.1133,4486.082,11430.356,14779.274,7875.4375,11700.259,12873.909,14193.555,9619.374,10730.317,8576.714,8950.066,11612.836,8657.55,13425.589,3928.0632,8723.597,28399.406,-5026.7915,19879.777,4000.2039,4663.91,-5486.627,-1890.4232,-316.9857,-6906.8003,5382.3477,896.3173,-1369.2416,-7515.239,513.58594,-2034.3624,-1021.7046,-2529.7986,-1823.0219,-526.2676,156.3261,4397.7627,-1380.0444,5954.678,-473.96182,2350.1797,121.32894,811.45856,-336.26205,9280.015,683.31647,-5885.4272,297.5787,2814.4607,-2183.5771,-433.38272,-4174.2617,-2328.9734,2956.5251,-22.24166,-2403.4443,-2586.7397,-1144.4379,-2030.8418,-6639.43,-756.5877,-511.31186,1018.9536,178.65869,1994.9551,8742.645,7391.2695,5277.8535,5586.9766,8372.474,14125.661,10220.676,10195.065,8541.168,8514.504,11477.93,12770.703,13906.132,9580.036,10004.829,12084.395,5866.3374,9973.457,14189.4375,10469.921,7267.48,11720.167,11478.375,6690.43,5728.92,5183.7085,4949.101,,,,,,
1854,,,,,,,-5848.826,1490.982,-4987.743,944.82355,-2762.3157,-1436.4442,907.42114,-125.42745,6622.0137,-1149.8932,3924.3264,-958.5493,5200.6724,-3572.2908,-464.47067,-1887.1276,2275.8608,880.41034,2045.7002,6339.646,-3854.9883,-2076.3218,-92.608925,970.3182,4638.8003,1957.2079,-627.983,-1861.8275,5328.4155,-32.42879,-1354.2344,3267.527,-2151.4207,527.70746,3314.307,1947.3954,5648.977,-33511.496,-28793.1,-21987.291,-28860.148,-19249.6,-19498.295,8538.177,13816.281,12882.273,8678.621,10523.6045,6261.6987,14542.921,10410.587,4664.644,5525.129,13859.243,10367.505,15051.2705,10667.601,13743.606,7922.8335,10398.364,7554.6616,10955.215,14222.06,12332.69,14035.106,9155.536,8322.614,13179.36,11060.9795,9278.366,11617.042,12707.266,14029.419,8890.27,22097.475,4587.929,9273.668,-15231.222,-3779.213,16943.45,-7898.024,-13298.528,-4860.6655,203.8221,1544.5309,-2588.3298,8299.963,-3269.428,234.30647,-4069.7537,1872.6156,-7448.354,-1599.5419,-2292.109,2786.1985,1075.8575,1083.409,3861.7627,-1209.3195,3845.0303,-460.30432,4087.7288,-2785.3037,4672.189,1596.811,9855.505,-588.51337,-7761.6562,710.7031,3735.4934,-5275.565,660.1797,-5043.381,-3090.5647,2359.83,-1059.135,-3666.9797,1820.5441,-5199.391,-201.75359,-7040.906,149.82503,-2250.5059,-2048.8242,-1712.4,1309.0845,13106.301,9000.644,13494.888,7489.1235,11753.827,8934.0,13991.597,14190.761,12843.816,8267.753,12737.495,10332.706,14679.3125,7764.229,14195.903,10453.964,7329.4683,6535.6875,10696.577,8244.919,8412.19,14974.177,10395.903,6220.174,10772.174,5235.9224,5435.445,,,,,,
1855,,,,,,,-4741.533,2036.6952,-7010.739,-1418.1166,-132.71346,-2778.4502,1562.3073,-1385.4219,4497.969,-4082.0876,-1086.2236,-3739.1233,3017.6543,-5245.79,2719.0645,458.4421,925.408,-3348.3552,2506.305,1633.3854,-4305.009,-2018.8556,4226.445,1314.549,5180.2964,738.78125,-1643.3374,790.1347,2402.2773,-187.96198,1280.3511,2167.9019,-2657.7683,3831.2344,-551.967,2653.9243,3978.4192,-25894.787,-31277.295,-27840.016,-23597.68,-14692.245,-24352.555,9367.327,10866.953,10987.257,11162.19,12852.19,10877.614,11298.075,12769.935,4237.056,10152.042,15470.695,12804.745,11765.993,9451.834,13450.527,7872.713,11581.656,9104.622,5312.683,12365.988,15434.836,7242.3613,11151.108,10634.124,10591.815,13017.523,13968.919,6962.5625,9835.987,11975.543,10452.719,25564.088,5162.274,10711.75,9926.531,19171.018,13512.677,-17211.182,-12250.328,-313.47803,499.21558,1611.6761,-1955.4034,8639.401,-1248.5796,-1193.954,-136.26042,5004.6064,-4383.8374,-2169.6633,-782.5734,454.75278,-2654.7957,3581.3894,1186.0195,1461.165,939.2751,-817.894,214.47844,215.48567,-373.33524,3049.8542,8042.1694,-191.1956,-3898.9465,-2695.057,3032.7766,-6818.906,-302.81482,-5167.2876,-2729.2434,-159.45103,3000.6682,-2554.106,-2556.3083,-2493.4758,-180.96501,-650.3008,3801.2688,-1433.3916,-1918.0399,-6010.666,-573.1816,8936.655,11924.246,9730.592,9900.776,11035.812,12736.055,11653.504,12674.734,9259.141,7198.439,12704.083,5493.625,15124.808,8401.87,8758.3955,10896.241,10828.966,6282.074,6003.5566,9289.7,4494.2017,9522.107,9354.743,9890.766,7018.1763,9528.783,6745.8613,,,,,,
1856,,,,,,,612.79663,2367.5176,-6915.8794,-1121.1085,4092.5437,-2619.2073,6363.7817,2627.1218,4897.282,1287.4436,1575.483,-1531.2329,2482.7766,-1507.9655,6990.953,-1399.5635,-1885.6919,-3145.1653,3595.8438,76.90967,-2319.403,1259.2333,4101.6416,643.5533,1739.5651,-267.37393,393.01865,986.274,4278.3203,-442.20682,-3608.081,544.6839,3810.737,1785.7334,-506.3936,1115.3545,273.53613,-26082.22,-27919.088,-26331.4,-22856.271,-20002.002,-19501.486,11172.41,12408.177,9438.171,8884.659,14032.185,11728.765,13179.835,14872.286,9224.597,13130.394,17317.785,13478.148,7822.957,10787.83,10350.692,9100.86,7786.201,11603.671,11675.598,12570.255,16133.796,6733.9727,12016.641,14265.6455,11089.734,10235.581,11998.562,10199.345,9110.763,10520.093,12613.394,33876.94,6995.2925,15762.306,7722.58,-319.77084,15018.442,-10655.399,-7748.4565,2116.396,-4620.0747,2241.5193,561.83887,-294.3872,-4638.813,-421.6036,1025.2721,5066.5347,-4794.7524,5394.443,2689.5432,143.86433,430.1661,2280.426,1770.5604,3663.83,-626.1398,1539.3799,1699.8207,4276.014,-301.68335,-248.03523,5957.9297,1441.3112,-3550.631,-2016.745,-839.6865,-5688.5015,-567.9652,-4097.715,-3986.7126,-3221.7947,481.36374,-4847.553,-2675.218,-304.1359,1450.1136,-8.095744,1600.041,-5180.639,-5323.9785,-6434.7407,-654.4567,5061.0938,9184.61,9680.297,6672.8726,11274.605,13148.073,7018.664,10616.293,9535.626,5118.4604,13156.526,9785.522,12666.817,10920.399,9289.91,13693.022,9446.969,6971.0156,8110.293,10082.56,6722.453,9780.769,11045.583,12008.851,9425.188,9097.497,7600.974,,,,,,
1857,,,,,,,3956.2615,-697.0466,-6088.019,-1212.0524,5283.939,-177.59949,4289.4136,2390.354,4237.22,1495.1256,2299.4792,713.06885,-1541.1279,564.7236,2864.4475,-1240.9285,-1625.8667,-242.75667,2908.5735,2904.7314,564.8831,776.09796,5051.8657,272.136,6106.0728,682.5399,1667.8805,-1743.6229,631.09937,-2193.7031,-4570.721,2613.157,2327.3088,1335.5314,-2524.0896,939.2336,580.6276,-32858.2,-23274.764,-21720.174,-23064.594,-17888.828,-21819.768,15980.403,9528.685,7845.037,13683.867,12298.13,8920.966,9448.037,17148.371,7308.401,10474.163,10497.3125,14313.081,13543.172,8709.481,9067.095,8787.976,8662.032,11110.853,9823.327,8705.202,13059.699,10532.078,7331.732,15336.602,12790.292,13712.831,12624.437,8802.587,14397.995,13125.63,14634.578,27102.846,5658.528,6974.6855,1807.403,969.1738,20692.725,13434.042,-7239.768,-1057.4376,-6254.9233,40.324383,3686.4766,-861.6517,-3410.8298,-1539.3268,2172.368,255.42114,-2698.1248,3754.9836,469.9108,-1851.5015,-2515.7,2360.9478,2917.5105,3861.89,-1048.5045,1136.5309,1948.7819,32.10205,4309.922,-1623.4174,2537.61,-3345.614,-3975.4285,-2991.7673,-325.17517,-3644.0232,-5752.332,-4172.5913,-3949.3635,-5404.6167,-1487.5718,308.594,-5105.345,-4293.2515,1981.7578,-2242.133,1667.7711,-3183.2727,-5307.6714,-5725.809,4771.306,8098.879,12052.43,10883.198,10773.379,15502.828,15101.917,10053.151,9822.192,9989.58,4339.33,9930.019,8916.285,10757.263,11894.383,14462.562,10389.094,13812.833,5574.568,7571.568,9381.21,10183.019,9946.383,10602.861,9800.513,5467.0234,9083.254,7480.082,,,,,,
1858,,,,,,,4744.6587,-158.83833,-7519.2593,55.068604,3697.5315,2504.7737,3333.6833,4048.4426,881.44196,-320.97903,417.15714,-1504.3617,-249.84534,-1209.9639,592.1711,-274.2225,2297.2986,2861.6199,6009.879,425.41373,-988.06744,2366.682,5024.4565,27.787638,5901.062,1993.7343,659.89606,-2172.689,1815.085,-2931.1497,901.0166,2317.2244,2487.6409,4258.7085,1644.066,2273.0928,5144.1343,-28192.104,-22259.857,-24535.736,-24190.912,-19933.541,-23900.908,7991.2656,8376.821,10740.898,8822.765,13441.831,8822.853,11193.015,12100.339,13736.172,11353.473,12738.138,10767.212,10889.482,9716.651,9736.438,7679.8325,12702.356,13487.634,11660.823,11977.214,8863.608,12026.0625,8700.784,11686.353,16556.959,11192.5625,14120.898,8774.234,11995.714,10045.843,11496.109,29503.502,6248.0806,5187.9116,11109.039,1942.7734,16612.629,19271.049,6167.606,1375.4806,-2068.9412,495.24185,2939.6096,-1945.515,-2334.5056,-396.63687,2021.5157,-764.9041,-1245.5431,-1165.9921,3057.325,-1689.4702,-3445.61,3161.861,6207.5786,1502.414,3905.6282,477.11328,5175.6978,2228.631,3653.9563,1141.255,2057.1409,479.72888,-1182.3595,-1066.0634,-1141.8612,-5408.33,-422.99927,-1971.5573,776.1736,86.80713,2115.0027,125.84766,-2913.0586,-2337.8396,-926.3266,-1067.7955,1584.1908,-1729.7031,-2020.0245,-3208.291,1989.3915,6602.724,11648.407,10510.358,12305.495,12128.063,8347.354,8690.391,12274.825,7093.131,4297.4487,12940.32,7884.086,8737.649,12863.46,9860.606,12993.638,16323.532,12836.579,7949.4175,10954.183,7941.0083,8083.3867,10393.878,10287.808,4194.1123,12184.457,2190.04,,,,,,
1859,,,,,,,1031.9327,1056.0798,-2902.8875,5103.5083,5060.072,4251.174,4373.9746,2022.2062,1528.0748,-1375.9209,2110.503,-366.14914,1450.9844,1079.9781,-1591.9199,1627.7816,928.5332,2197.843,3674.9363,1571.9825,1306.4232,4277.8716,1506.5771,1083.769,6175.3667,4784.6855,2736.169,3843.7422,6138.3657,-2028.2642,-338.09668,3091.8406,1669.1935,7738.4785,4277.4634,1047.9689,4929.9106,-36951.406,-20158.96,-23794.188,-16072.719,-18341.37,-18298.014,9214.12,10385.767,10415.397,11511.192,10656.419,12678.155,11837.022,12477.219,11609.328,10534.987,12269.169,8585.675,10533.146,8525.999,6427.9062,12801.848,11756.855,9882.585,10037.7,13331.19,9227.796,10851.562,10763.932,13214.704,14628.016,11852.543,14418.414,9258.399,11192.875,11157.419,14005.875,47217.203,8011.8774,6400.522,5026.3716,15762.011,41528.395,18536.287,13366.176,1337.9355,726.44415,-2698.2615,2821.7175,-5262.67,-202.38313,-750.56006,2786.7559,-1076.5712,-1935.0098,189.50993,4289.3936,2808.0315,2249.5286,1658.0365,4812.965,1943.1016,3015.494,2532.5007,6681.021,6980.565,3323.4773,6003.8784,4866.772,181.97711,-2014.8579,1419.7982,-3279.868,-1614.7935,-1281.289,-3047.122,1771.7028,3953.791,3030.2556,-4404.1367,-2275.926,-292.14267,1811.9785,784.25336,1655.369,-2653.4656,-793.1855,-1662.9235,2988.912,10026.835,8456.019,9525.54,12120.797,13955.911,13471.499,10268.375,10085.257,1300.495,6947.119,7021.4897,7426.232,11233.942,12557.155,10603.37,16326.185,15259.089,10768.351,7156.612,8273.337,9082.64,6990.987,10119.2295,11815.828,5694.06,8168.893,6305.0317,,,,,,
